Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2005013174898,2005-01-12 00:00:00,2004-12-20 00:00:00,BUF,Buffalo Niagara International,Continental Airlines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,81.19,Approved,81.19,Approve in Full,23.0,0.0
2004122770950,2004-11-22 00:00:00,2004-11-07 00:00:00,SEA,Seattle-Tacoma International,Jet Blue,Passenger Property Loss,Checkpoint,Other,350.0,Denied,0.0,Deny,15.0,350.0
2007121136344,2007-12-10 00:00:00,2007-12-07 00:00:00,CRW,Yeager; Charleston,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.0,Denied,0.0,Deny,3.0,10.0
2005070688338,2005-07-05 00:00:00,2005-06-03 00:00:00,OKC,Will Rogers World,UAL,Passenger Property Loss,Checked Baggage,Locks,20.0,Approved,20.0,Approve in Full,32.0,0.0
2007060426211,2007-05-29 00:00:00,2007-05-20 00:00:00,DFW,Dallas-Fort Worth International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Tools - Manual (not in a vehicle),44.88,Approved,44.88,Approve in Full,9.0,0.0
2004122770957,2004-12-27 00:00:00,2004-11-04 00:00:00,RDU,Raleigh-Durham International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.0,Denied,0.0,Deny,53.0,10.0
2006010698965,2005-12-28 00:00:00,2005-11-30 00:00:00,PDX,Portland International,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,328.95,Denied,0.0,Deny,28.0,328.95
2005051985000,2005-05-11 00:00:00,2005-02-21 00:00:00,SMX,Santa Maria Public,UAL,Passenger Property Loss,Other,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,65.0,Denied,0.0,Deny,79.0,65.0
2005031678480,2005-02-16 00:00:00,2005-01-08 00:00:00,SMX,Santa Maria Public,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,50.0,Denied,0.0,Deny,39.0,50.0
2008080748220,2008-08-04 00:00:00,2008-07-23 00:00:00,CPR,Natrona International,US Express,Passenger Property Loss,Checked Baggage,Cameras - Digital,248.61,Denied,0.0,Deny,12.0,248.61
